formation.name;Period;Age;AlphaForm;BetaSimForm;BetaWForm;GammaForm;CollpF;Duration;RefForm;Environments;Htaxa;maxGCD;medianGCD;madGCD
Hiraiga;Cretaceous;117.6006579;9.6285;0.886803088;10.84854987;93.232;38;3.295;4;2;2;0;0;0
Honghuayuan;Ordovician;472.7645833;4.378;0.9094112;11.0539443;37.334;24;11.15;9;3;4;1419.965833;493.0323326;418.191425
House;Ordovician;483.45;3.1955;0.931386489;16.48778866;35.838;51;0;5;2;3;140.6101347;86.51446231;80.20224385
Huaqiao;Cambrian;501.08025;8.8261;0.934846292;14.71556825;113.704;200;15.6;6;1;2;225.1126927;104.8083705;64.33548294
Huayansi;Cambrian;497.6478261;4.3372;0.92612206;14.44358346;47.988;46;7.6;2;1;1;97.36576148;48.68292826;72.17716853
Hueco;Permian;289.0384615;6.3108;0.923277353;16.54630727;85.902;78;12.15;10;3;2;305.7294005;128.8092373;69.98290219
Husbergoya;Ordovician;450.2709677;4.8118;0.919420887;14.61174408;55.622;31;6.05;4;2;4;55.66140592;27.83070296;41.26180021
Ingelara;Permian;266.5;3.79;0.868654425;9.826944413;27.246;35;0;7;4;2;111.3238716;55.66198331;82.52431554
Isztim;Jurassic;187.5409091;7.5326;0.862021502;13.18663932;86.024;33;10.2;5;3;2;NA;NA;NA
Ithaca;Devonian;379.9;3.5053;0.887425913;11.72467193;28.97;31;0;3;1;2;417.1904703;165.4557569;107.5057738
Jaguel_cret;Cretaceous;68.3215;5.9793;0.827142939;6.678428675;33.066;33;0;5;2;1;NA;NA;NA
Jaguel_pal;Paleogene;63.8715;8.2115;0.734108804;4.210361854;30.242;60;0;1;1;1;NA;NA;NA
Jalama;Cretaceous;77.75;9.2263;0.836652315;5.161636459;42.25;43;0;1;1;1;0.000134414;0.000134414;0
Janesville Shale;Carboniferous;300.4916667;5.3887;0.881042093;10.73127247;46.656;36;1.5;2;3;2;345.1410582;141.3604725;79.52145498
Jimol;Neogene;17.91639344;10.5379;0.857376412;8.846939726;83.372;61;2.4;2;4;2;9.50E-05;9.50E-05;0
Julfa;Permian;256.5;5.8054;0.895394924;11.49700166;55.258;74;0;7;2;2;140.6101347;70.30511486;104.2342224
Jungle Creek;Permian;291.063141;6.1274;0.905294173;12.28338171;61.734;78;20.375;5;1;3;378.0644729;144.6162833;139.9488151
Jupiter;Silurian;434.6691057;4.583;0.908414696;14.25353924;50.69;123;5.4;10;4;4;182.4765352;111.3238716;54.13812856
Kahula;Ordovician;458.35;2.9599;0.922223313;18.14456924;35.06;35;0;8;2;4;202.7621792;111.3238716;80.04316293
Kaibab;Permian;274.6309524;4.6472;0.909828866;15.36346743;55.92;84;5.75;10;3;4;590.5732314;240.1689926;156.5285128
Kaili;Cambrian;511.6691176;5.8053;0.890166773;8.531764869;40.808;68;5.5;3;2;2;99.19003638;49.59501819;73.52957397
Kanosh;Ordovician;469.3053191;3.0476;0.923102885;14.96744983;30.372;47;8.7;3;2;3;222.6477431;111.3238716;91.48004273
Kap Leslie;Jurassic;149.9958333;12.0271;0.84388512;6.629114556;72.562;120;10.3;2;3;3;9.50E-05;9.50E-05;0
Kazan;Permian;270.25;2.3428;0.925950054;22.01041051;29.006;51;0;10;2;2;1810.188212;623.1110714;563.860992
Kendlbach;Triassic;202.5017241;2.6108;0.889328544;10.77737791;17.346;29;4.55;2;1;2;320.7266414;134.7458223;87.21192844
Keziliqiman;Permian;284.8;4.5497;0.910236255;10.50973724;37.124;32;0;1;1;1;208.7839529;104.3919765;154.7715443
Khachik;Permian;261.4358974;3.3287;0.932139275;16.51203006;38.118;39;5.5;4;2;2;140.6101347;86.51446231;80.20224385
Khuff;Permian;266.5;3.3127;0.870938845;10.47804467;23.938;79;0;4;3;2;152.5307855;76.26544026;113.0710008
Kincaid;Paleogene;63.81594444;7.8351;0.916839964;14.45254194;96.532;108;1.5;6;2;2;1087.240644;295.149158;272.5393696
Kindblade;Ordovician;475.8211111;2.6008;0.924142838;17.38511202;27.206;135;5.9;2;2;3;214.6121189;107.3060595;159.0919638
Kiowa;Cretaceous;106.15;5.8862;0.870559137;8.489460945;40.946;71;0;1;2;2;283.4506478;126.7123724;144.3021298
Kirkwood;Neogene;19.5;9.6285;0.873809006;11.04949371;93.848;45;0;2;1;3;86.51446231;43.25723115;64.13317091
Koessen;Triassic;203.6;4.6616;0.906576866;10.79019801;39.334;233;0;7;5;3;537.902398;148.976242;110.4337657
Kopanina;Silurian;421.006383;19.1451;0.956039677;16.51072503;298.308;47;2.1;11;4;4;239.8083552;101.7451815;88.76870704
Kowala;Devonian;381.3270833;5.7415;0.912982167;12.73320476;60.358;24;5.25;7;4;4;70.05784534;35.02898988;51.93378111
Kuldiga;Ordovician;444.65;3.7321;0.887750718;10.59966375;28.652;54;0;4;1;2;329.128066;163.4010743;77.20966078
Laketown Dolomite;Silurian;435.1857143;3.3726;0.898406341;16.36743519;37.914;35;15.8;4;2;3;424.0276612;166.9858074;208.0814672
La Meseta;Paleogene;42.83333333;15.343;0.826867136;8.609974704;121.148;39;16.65;6;3;3;0;0;0
Lampazar;Cambrian;494.65;4.2985;0.719552585;5.451832501;17.798;44;0;1;1;1;301.5554823;111.3238716;58.89281323
Lefip;Cretaceous;68.3215;7.1333;0.818700652;7.26452285;43.966;39;0;1;1;1;NA;NA;NA
Lenox Hills;Permian;287.9;8.3298;0.896096116;12.00101541;87.354;30;7.75;4;3;3;0;0;0
Liberty;Ordovician;446.6;6.4148;0.781489;6.235409904;35.03;68;0;5;4;4;238.8608683;125.9670031;89.14075239
Lime Creek;Devonian;379.9;12.3938;0.898436862;9.922303117;112.462;40;0;5;1;2;237.0617186;111.3238716;103.7215501
Lisbon;Paleogene;42.48823529;31.3844;0.861085513;8.743317413;262.564;51;5.7;4;3;2;471.9979036;190.8437946;141.4710758
Little Cedar;Devonian;385.9;9.8867;0.890867962;12.92032231;113.786;27;0;4;2;3;277.3771502;138.3072214;84.34596872
Longtan;Permian;255.9745098;7.4533;0.931412946;15.87183339;100.706;153;3.35;30;3;3;2080.353497;619.039399;411.8586712
Loray;Permian;276;8.1854;0.825105985;7.178724945;51.094;45;0;5;3;4;111.3238716;55.66193578;82.52438599
Lorraine;Ordovician;450.75;6.5303;0.920287961;15.82928289;89.37;25;0;1;1;3;915.3076691;336.5074014;274.9680528
Lower Greensand;Cretaceous;116.1952586;11.4692;0.938205122;15.42321772;160.912;58;12.875;2;2;3;280.1991535;131.129029;69.13825624
Ludlowville;Devonian;386.0891775;9.5931;0.885744666;11.55312369;97.632;231;1.9;15;4;4;244.2383975;81.4166449;120.7040418
Luning;Triassic;214.795;3.3283;0.880565037;11.91712314;27.392;28;4.98;5;4;3;111.3238716;55.66193578;82.52438599
Machari;Cambrian;493.4171233;5.2347;0.850916736;8.056471446;33.466;73;1.25;2;1;1;0;0;0
Mahantango;Devonian;385.9;10.1453;0.898119602;11.56714557;105.95;54;0;2;3;3;204.7069057;85.27858598;126.4338907
Mancos Shale;Cretaceous;94.42934783;5.4582;0.919615357;13.74280909;60.59;92;5.2;11;4;3;890.5909726;287.794863;170.1558492
Maokou;Permian;267.475;4.6588;0.926089873;15.98126174;58.134;30;3.75;9;2;2;1265.1181;376.1872956;229.3876992
Marcellus;Devonian;386.7333333;9.4035;0.861795118;12.00243523;99.224;30;4.1;7;4;4;471.8673092;244.2383975;194.1714261
McColley Canyon;Devonian;400.5;9.5219;0.911640557;10.70068012;90.974;29;0;3;1;3;204.7069057;102.3535004;151.7491588
Meadowtown Beds;Ordovician;463.45;4.207;0.738307453;5.192849892;16.582;30;0;1;1;1;0;0;0
Meitan;Ordovician;472.6097222;2.8791;0.883779228;10.85039456;20.338;36;11.15;3;4;3;451.7895937;210.5131294;128.2281016
Mingan;Ordovician;464.2448276;4.9187;0.839878124;9.597037398;37.046;29;2.9;3;2;3;71.55707233;35.77853616;53.04525772
Moenkopi;Triassic;249.25;7.0636;0.897432377;11.35400849;68.112;103;0;9;4;3;706.5334649;210.7663185;180.6689395
Moodys Branch;Paleogene;39.3488;17.9415;0.851871162;9.761475937;161.604;125;5.7;9;3;2;1061.536153;382.6010008;272.3358215
Moreno;Cretaceous;68.3215;6.3881;0.901816021;11.86515046;63.228;53;0;5;2;3;284.9212752;126.7123724;112.6879204
Moscow;Devonian;385.9;9.2753;0.86177908;10.66398085;86.874;288;0;18;3;4;425.13908;162.8304057;120.7040418
Motol;Silurian;425.9365385;17.9557;0.930326225;12.44574298;210.824;26;7.55;4;1;4;357.7213874;71.55707233;106.0905154
Mount Auburn;Ordovician;450.75;5.6546;0.801452022;5.83608474;27.67;35;0;2;1;4;86.51446231;43.25729836;64.13307127
Mount Ida;Devonian;412.75;7.6116;0.857376641;12.11632957;80.998;27;10.2;4;2;4;716.6701617;363.0036583;407.0027324
Muldraugh;Carboniferous;344.1589744;13.7123;0.843273674;6.118866007;77.258;39;4.25;2;2;4;9.50E-05;9.50E-05;0
Nacatoch Sand;Cretaceous;73.53198684;20.6294;0.846322258;10.15599599;196.06;38;9.4285;2;1;3;648.7476455;201.5991798;140.8011835
Nanjemoy;Paleogene;50.92833333;8.9692;0.863176238;10.9309538;85.266;30;7.7;4;3;2;222.6477431;111.3238716;165.048772
Narrrow Cape Formaton;Neogene;17.319;6.5619;0.870954706;9.66193723;53.614;24;0;1;1;1;0;0;0
Naujoji Akmené;Permian;256.5;4.0481;0.891667797;10.41296855;31.432;51;0;1;1;2;NA;NA;NA
Nayband;Triassic;207.3133766;6.8467;0.909649566;13.18967867;76.124;77;10.18;10;3;3;574.1433753;241.8322946;333.5019997
Neal Ranch;Permian;297.2430233;17.3434;0.831950468;9.420215078;150.068;43;4.2;3;3;4;0;0;0
Nesen;Permian;254.1166667;4.292;0.903142261;11.5076593;37.538;45;3.35;4;1;2;374.8292097;161.4766224;176.3092693
